backers_count,Blurb length,Blurb caps,Category,Category (parent only),country,campaign length (deadline - launched at,decision timing (state changed - launched at),fx_rate,goal,Name Length,Name Caps,spotlight,staff_pick,State,usd_pledged
36,134,2,"food/small batch""",food,US,3456000,3456000,1,12000,20,3,FALSE,FALSE,0,1446.0
3,128,5,"music/blues""",music,GB,2592000,2592000,1.29135567,300,33,6,FALSE,FALSE,0,35.62673352
0,135,7,"food/small batch""",food,US,2690192,1141,1,500,31,4,FALSE,FALSE,0,0.0
513,30,4,"games/playing cards""",games,GB,2764800,2764802,1.29135567,10000,30,4,TRUE,FALSE,1,15761.53390337
0,124,3,"fashion/jewelry""",fashion,US,2592000,2592000,1,10000,39,5,FALSE,FALSE,0,0.0
42,40,1,"food/small batch""",food,US,3888000,1,1,500,21,3,FALSE,FALSE,NA,948.0
75,64,1,"food/restaurants""",food,US,1209600,1209600,1,15000,41,6,TRUE,FALSE,1,17625.0
59,103,14,"music/classical music""",music,US,2142571,2142590,1,5000,31,11,TRUE,FALSE,1,5040.0
13,134,1,"publishing/art books""",publishing,GB,2646372,2646372,1.29135567,30000,60,4,FALSE,FALSE,0,704.55764985
16,133,5,"music/classical music""",music,US,2588400,2588403,1,500,54,11,TRUE,FALSE,1,600.0
851,135,45,"technology/diy electronics""",technology,US,3888000,3888000,1,58888,55,6,TRUE,TRUE,1,113548.0
554,130,9,"technology/sound""",technology,ES,2678400,2678400,1.1753395,45000,53,10,TRUE,FALSE,1,58909.472196500000
534,133,3,"games/playing cards""",games,US,2592000,2592000,1,14500,25,4,TRUE,TRUE,1,18477.0
185,42,5,"food/drinks""",food,US,2592000,2592000,1,20000,14,5,TRUE,FALSE,1,20721.0
10,133,1,"publishing/art books""",publishing,AU,3884400,3884401,0.72636675,2500,38,4,FALSE,FALSE,0,402.89626574
39,120,3,"music/classical music""",music,US,2517993,2517994,1,1050,37,5,TRUE,FALSE,1,1115.0
191,70,1,"film & video/documentary""",film & video,GB,2604448,2604448,1.29135567,1,52,6,TRUE,FALSE,1,7988.79452452
143,112,4,"music/rock""",music,US,2706360,2706377,1,5000,35,5,TRUE,FALSE,1,6470.0
3,92,1,"fashion/jewelry""",fashion,US,2588400,2588400,1,1000,20,4,FALSE,FALSE,0,19.0
157,134,33,"music/classical music""",music,US,3033323,3033335,1,16000,21,3,TRUE,TRUE,1,17726.0
76,77,25,"fashion/jewelry""",fashion,GB,2592000,2592000,1.29135567,250,46,27,TRUE,FALSE,1,2107.11216378
248,53,6,"food""",food,US,2592000,2592002,1,25000,43,6,TRUE,FALSE,1,25049.0
